"class","PersonCount","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P05PredictedProbability","P25PredictedProbability","MedianPredictedProbability","P75PredictedProbability","P95PredictedProbability","MaxPredictedProbability","evaluation"
0,233505,0.0367955462358829,0.047865894103746,0.00343929533825777,0.00519930175873961,0.00832783618462574,0.0158752458323639,0.0428701112332279,0.137274956998391,0.670261666301052,"Test"
1,9494,0.100815425540822,0.0715092982883214,0.00343929533825777,0.00926038856514347,0.0401308412426767,0.106980841173778,0.137274956998391,0.226031501734272,0.676007788131596,"Test"
0,700516,0.0365434221441096,0.0474285861907988,0.00343929533825777,0.00519930175873961,0.00832670294428097,0.0158228893302192,0.0426437708679049,0.137274956998391,0.660177387130362,"Train"
1,28484,0.101275976698924,0.0724580547019532,0.00343929533825778,0.00995594617017126,0.0395298447945306,0.107279455013025,0.13864201018603,0.227056435586892,0.683276165043566,"Train"
