"evaluation","predictionThreshold","preferenceThreshold","positiveCount","negativeCount","trueCount","falseCount","truePositiveCount","trueNegativeCount","falsePositiveCount","falseNegativeCount","f1Score","accuracy","sensitivity","falseNegativeRate","falsePositiveRate","specificity","positivePredictiveValue","falseDiscoveryRate","negativePredictiveValue","falseOmissionRate","positiveLikelihoodRatio","negativeLikelihoodRatio","diagnosticOddsRatio"
"Test",0.676007788131596,0.980885876161558,1,242998,9494,233505,1,233505,0,9493,0.000210637177461822,0.960933995613151,0.000105329681904361,0.999894670318096,0,1,1,0,0.960933834846377,0.0390661651536227,Inf,0.999894670318096,Inf
"Test",0.670261666301052,0.980390027486014,2,242997,9494,233505,1,233504,1,9493,0.0002106149957877,0.960929880369878,0.000105329681904361,0.999894670318096,4.28256354253656e-06,0.999995717436457,0.5,0.5,0.960933674078281,0.0390663259217192,24.5950073730777,0.999898952448896,24.5974928894975
"Test",0.6367708047282,0.977333042505615,3,242996,9494,233505,1,233503,2,9493,0.000210592818784879,0.960925765126605,0.000105329681904361,0.999894670318096,8.56512708507313e-06,0.999991434872915,0.333333333333333,0.666666666666667,0.960933513308861,0.0390664866911389,12.2975036865389,0.999903234616373,12.2986937743601
"Test",0.636424553721524,0.977299861890177,4,242995,9494,233505,2,233503,2,9492,0.000421141292903769,0.960929880369878,0.000210659363808721,0.999789340636191,8.56512708507313e-06,0.999991434872915,0.5,0.5,0.960937467849133,0.0390625321508673,24.5950073730777,0.999797904032299,24.5999789296249
"Test",0.630744186497867,0.976750648877587,5,242994,9494,233505,3,233503,2,9491,0.000631645436361722,0.960933995613151,0.000315989045713082,0.999684010954287,8.56512708507313e-06,0.999991434872915,0.6,0.4,0.960941422421953,0.0390585775780472,36.8925110596166,0.999692573448224,36.9038562849015
"Test",0.608239364273896,0.974480482416714,6,242993,9494,233505,3,233502,3,9491,0.000631578947368421,0.960929880369878,0.000315989045713082,0.999684010954287,1.28476906276097e-05,0.999987152309372,0.5,0.5,0.960941261682435,0.0390587383175647,24.5950073730777,0.999696854750198,24.6024654936255
"Test",0.59662930879119,0.973246797204274,7,242992,9494,233505,3,233501,4,9491,0.000631512472371329,0.960925765126605,0.000315989045713082,0.999684010954287,1.71302541701463e-05,0.99998286974583,0.428571428571429,0.571428571428571,0.960941100941595,0.0390588990584052,18.4462555298083,0.999701136088842,18.4517700979876
"Test",0.593898421174532,0.972950072534995,8,242991,9494,233505,3,233500,5,9491,0.000631446011366028,0.960921649883333,0.000315989045713082,0.999684010954287,2.14128177126828e-05,0.999978587182287,0.375,0.625,0.960940940199431,0.0390590598005687,14.7570044238466,0.999705417464158,14.7613528606048
"Test",0.580826962219165,0.971493779587256,9,242990,9494,233505,3,233499,6,9491,0.000631379564348101,0.96091753464006,0.000315989045713082,0.999684010954287,2.56953812552194e-05,0.999974304618745,0.333333333333333,0.666666666666667,0.960940779455945,0.0390592205440553,12.2975036865389,0.999709698876144,12.3010747023496
"Test",0.575884686579785,0.970927117231996,10,242989,9494,233505,3,233498,7,9491,0.000631313131313131,0.960913419396788,0.000315989045713082,0.999684010954287,2.99779447977559e-05,0.999970022055202,0.3,0.7,0.960940618711135,0.0390593812888649,10.5407174456047,0.999713980324803,10.5437331607387
